transcript	WormBaseGeneID	GeneName	biotype	strain	expression
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ED3049	1.15134749008218
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ED3052	1.6511342492584
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ED3073	1.80227825313644
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ED3077	1.2097361962143
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	EG4347	1.66711498904573
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	EG4724	1.53095575487811
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	EG4946	1.20518213502067
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	GXW1	1.80386562071084
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JT11398	2.44553206867476
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1088	1.11176136682693
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1172	1.35708637676956
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1200	1.51982901197885
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1212	1.22170990511362
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1213	2.22556090276568
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1242	1.47872789309977
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1246	1.73572276969662
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1395	1.47848689841585
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1409	1.82007605251993
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1440	1.86471046022914
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1491	1.95830313464465
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1530	1.60054115075498
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1543	1.29789244399306
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1568	1.63390098902458
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1581	1.53349054476745
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1586	1.95550009280791
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1652	1.25838703955092
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1666	1.03191169031311
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1792	1.94293592141711
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1793	1.80169998637952
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1808	2.14373733477997
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1896	0.628115002796186
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU1934	1.71242759741198
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2001	1.28845542032896
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2007	0.947968958768608
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2016	1.04888856795484
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2017	1.57174772051195
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2106	0.819774859022697
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2131	1.94095849676192
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2141	2.1254154817195
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2234	1.62824796488661
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2250	1.71255625826874
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2257	1.5961558549496
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2464	1.56811749373054
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2466	1.51038454647662
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2478	1.1245841560173
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2513	1.67066095742283
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2519	1.65654577837359
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2522	1.72230082748586
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2526	1.63288092862605
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2534	1.5716577819008
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2565	1.55318982618956
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2566	1.31798087759616
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2570	1.78638623205832
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2572	1.16051178165511
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2575	1.54033955123693
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2576	1.8844688530849
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2578	1.34050891417203
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2581	1.77277488259758
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2586	1.10269353074103
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2592	1.59261964354677
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2600	1.77192249127002
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2610	1.97482046870287
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2619	1.28857754176286
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2811	0.832581588031403
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2838	1.73170247576832
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2841	1.81339379635026
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2853	1.63332836754726
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2862	1.47068461547224
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2866	1.39971208926575
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2879	1.79853805737231
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2906	1.5164795444657
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU2907	1.28815968045307
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU310	1.70547733823458
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU311	1.69577522344729
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU3128	1.35774329571292
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU3132	1.47007851788737
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU3134	1.03643036043272
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU3140	1.13810100974456
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU3144	1.75076218124864
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU323	1.67749448903886
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU346	1.61879062581256
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU360	1.25889008270723
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU367	2.12698768191357
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU394	1.07649066057794
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU397	2.11703801272373
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU406	2.0492094913085
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU440	0.947940699236376
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU642	1.01138267435413
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU774	1.57768972436145
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU775	1.17123192368172
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU778	1.34441618308326
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU782	1.54780925039301
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU792	1.38700151512736
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU830	1.67957783229124
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	JU847	1.45169844187196
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	KR314	1.87244395999228
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	LKC34	1.41926971127641
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY1	1.73365489948
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY10	1.32593285257618
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY16	1.39620449633359
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY18	0.908933102860844
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY2147	1.62718301946002
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY2212	1.66884056650309
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY23	1.38328646138286
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY2573	1.5849276129517
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY2585	1.64159458010276
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY2713	1.8545841366181
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY518	1.42431065107489
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY772	1.52454824161603
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY795	1.72621914377256
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	MY920	1.31258035580359
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	N2	1.36031440997837
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC1	1.28137449105065
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC166	1.25808595754828
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC199	1.68406646894107
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC2	1.58926313585145
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC207	1.73405111038724
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC231	1.33927192649159
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC236	1.61610211191419
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC242	0.979651454243529
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC251	0.425805433715393
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC252	1.52329829051592
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC255	1.36054334603341
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC256	1.826738769364
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC258	1.90352154342825
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC259	1.39371595285634
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC260	1.48148104661145
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC261	1.67091677463224
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC265	0.56467473633263
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC266	1.51734818966335
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC267	1.4124241935911
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC268	1.75774022338006
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC271	1.50711427954209
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC274	2.49880373761374
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC275	1.74370521980975
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC276	1.06301992314535
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC277	0.719588570688851
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC3	1.66011737624651
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC501	1.62659589754094
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC511	1.29064589417008
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC513	2.78555590405651
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC514	1.27902599562035
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC515	1.18516811910672
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC523	1.25303088380186
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC526	0.676507446084766
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC527	1.30138389920485
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC528	1.06677029353009
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	NIC529	1.83398709647918
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	PB306	1.33168554894107
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	PS2025	1.57337203201354
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	PX179	1.61341953184847
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	QG2075	1.66973374251116
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	QG556	1.56817539387628
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	QW947	1.53983430998296
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	QX1212	1.22733921619854
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	QX1233	1.89336134709991
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	QX1791	1.57875921914204
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	QX1792	1.51887766033158
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	QX1793	2.11391973175591
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	QX1794	1.40542415008336
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	RC301	1.48600263277178
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	WN2050	1.83542284565401
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	XZ1513	1.487831530133
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	XZ1515	2.24274922550879
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	XZ1516	0.110253057172397
C41D11.1a.1	WBGene00016561	eri-6	mRNA	AB1	-0.129024300448293
C41D11.1a.1	WBGene00016561	eri-6	mRNA	BRC20067	-0.879672995087443
C41D11.1a.1	WBGene00016561	eri-6	mRNA	BRC20263	-0.545845826692691
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CB4852	-0.227443607792716
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CB4855	-0.551285345913162
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CB4856	2.09841841835314
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CB4857	0.0994395862084032
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CB4858	-0.692169731314007
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CX11254	-0.675856991034849
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CX11262	-0.460281541643127
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CX11264	0.171603394686723
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CX11271	0.110672205425274
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CX11276	-0.391472338796036
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CX11285	0.289020815396131
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CX11292	0.00738363885187817
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CX11307	-0.431286331254776
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CX11314	-0.0443987462250771
C41D11.1a.1	WBGene00016561	eri-6	mRNA	CX11315	-0.414808552055503
C41D11.1a.1	WBGene00016561	eri-6	mRNA	DL200	-0.512319347548227
C41D11.1a.1	WBGene00016561	eri-6	mRNA	DL226	-0.311683636066785
C41D11.1a.1	WBGene00016561	eri-6	mRNA	DL238	2.07918002553128
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA189	-0.0125181922216047
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA348	-0.431049891086298
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA349	-0.283466738542541
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA363	-0.646311263134944
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA372	-0.597602316573932
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA592	-0.811595920775934
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA594	-0.33869676142303
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA703	-1
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA705	-0.70573460185197
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA710	-0.163416356907372
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA738	-0.427302579236076
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA743	-0.463740311140713
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA745	-0.498356623628532
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA777	-0.561968045141498
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA812	-1
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ECA923	-0.451699706909442
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ED3005	-0.564611821145573
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ED3012	0.00979627821425096
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ED3017	-0.349128177600589
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ED3040	-0.798002144142279
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ED3048	-0.362358397577884
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ED3049	-0.60138572072348
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ED3052	0.0159842039168433
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ED3073	-0.39770238128157
C41D11.1a.1	WBGene00016561	eri-6	mRNA	ED3077	-0.584985781817424
C41D11.1a.1	WBGene00016561	eri-6	mRNA	EG4347	-0.489888585169659
C41D11.1a.1	WBGene00016561	eri-6	mRNA	EG4724	0.0191338812633584
C41D11.1a.1	WBGene00016561	eri-6	mRNA	EG4946	-0.218954289384397
C41D11.1a.1	WBGene00016561	eri-6	mRNA	GXW1	-0.718730641491022
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JT11398	0.324465814453645
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1088	-0.0777336732149214
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1172	-0.163898939726478
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1200	-0.61323332550598
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1212	-0.386989728305439
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1213	-0.367236178437064
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1242	-0.620370247593913
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1246	-0.908578423952248
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1395	-0.272227428152732
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1409	0.0508768512760879
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1440	-0.618699815062935
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1491	-0.312157391847636
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1530	-0.181195655137735
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1543	-0.90659562313958
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1568	-1
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1581	-0.773507939029365
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1586	-0.730914113106552
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1652	-0.754691595848279
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1666	-0.308220779282838
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1792	-0.198309476116336
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1793	-0.597522195224822
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1808	-0.464252307492014
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1896	-0.713319878679333
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU1934	-0.302651200459931
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2001	-0.76544163690752
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2007	2.43107941412235
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2016	-0.403237760700144
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2017	-0.65380535180195
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2106	-0.0399046051216964
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2131	-0.581333402243121
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2141	-0.900708960974099
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2234	-0.11105405848861
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2250	-0.572696114439376
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2257	-0.46856046897675
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2464	-0.331137241236525
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2466	-0.526851629251541
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2478	-0.100755654371166
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2513	-0.320827590754715
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2519	0.101219548531653
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2522	-0.571183578858432
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2526	-0.491556648543435
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2534	-0.579288529195275
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2565	-0.393608548985972
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2566	-0.224926899155127
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2570	0.0918586524044081
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2572	-0.435338944386322
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2575	-0.37458705384027
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2576	-0.0563959372745315
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2578	-0.453248153413162
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2581	-0.402016380029114
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2586	-0.704645966243337
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2592	-0.726211944119459
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2600	-0.0785739995278283
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2610	0.311365527689088
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2619	-0.22403027173826
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2811	-0.316283601754967
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2838	-0.266127772490104
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2841	-0.634823754326019
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2853	-0.393673964263912
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2862	-0.395407749786189
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2866	-0.501707126907477
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2879	0.130272328377443
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2906	-0.747680661798323
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU2907	-0.233362651540912
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU310	-0.409211408518524
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU311	0.0754554079171647
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU3128	-0.446994565268288
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU3132	-0.567642917448159
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU3134	-0.475769724990552
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU3140	-0.725722546001607
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU3144	-0.435730506383983
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU323	0.267829129860546
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU346	-0.485102878154677
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU360	-0.16025141057188
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU367	-0.101602295312168
C41D11.1a.1	WBGene00016561	eri-6	mRNA	JU394	-0.65260472799364
